33139	6	4	0.8	0.4
33211	3.9	6.3	10.2	0.8
33321	4	3.5	5.4	1.8
33882	6	6	2	1
34068	21	12	1	10
35704	8.5	4	3.4	3.9
35785	23	9	0.3	2
35917	2.8	5.5	7.9	1.1
36346	4	4	1	0.5
36420	15	15	6	15
36852	14	14	5	17.9
36859	12	7	2	3
36979	1.9	2.6	1.3	0.2
37013	24	8	0.5	1
37015	15	15	6	12
37065	73	14	14	30
37217	12	6.5	1.9	3.5
37703	15	15	6	12
37927	2.4	3.5	10.4	0.9
38828	5	1	1	0.1
38890	15	15	6	18
39010	59	9	26	49
39196	5	3.5	9.6	3.4
39509	24	8	0.5	1
41573	25.6	15.8	7.4	42.4
41592	12	4	1	0.1
41703	3	1.8	9.4	4
42333	4	3.5	5.4	1
42416	6	5	4	2
42665	11	2.9	2	1.1
42789	4	3	4	0.9
42989	4.3	3.8	2.3	0.3
43260	3	3	4.3	0.8
43489	5.8	3.8	3.3	4
43619	10	6	6	0.6
43654	4	2	2	0.2
44010	6	6	6	1
44019	8	6.5	5	4
44325	15	15	6	25
44821	5	6	1	1
45645	11.5	13.3	3.2	4.5
45737	2.8	3.7	1.6	0.4
46160	12.5	12.5	2	3.9
46167	42.5	21.5	4.8	60
46450	6	6	2	1
46637	14.3	8.5	5.5	17.9
46781	15	15	6	20
47107	13	7	1	1
47440	14	14	5	19.2
47610	36	14	9	18
48027	8	4.5	8.5	8
48108	47.2	7.9	3.9	11
48233	12	7	2	3.5
48249	24	8	0.5	1
49104	23	10	8.1	12.7
197423	19.3	3	2.8	6.6
197595	14	14	3	12
197876	6	4.9	0.5	0.1
199263	14	14	5	14.4
199313	3.5	3.9	2.2	0.3
199354	35.4	13.3	10.6	7.4
199693	22	7	30	23.5
200344	12	12	44	18
200464	2.5	2.5	5	0.7
201056	7.9	5.9	2.4	3.5
201076	16	12	12	22
201171	21	12	1	0.3
201751	12	12	6	15
202134	3.5	1.5	5	0.2
202269	22.3	14.4	6.3	42.9
202365	6	4	1	0.1
202482	15	4	4	2
202834	12	8.5	1.5	0.8
203873	2.8	3.7	1.6	0.4
203961	13.4	13.4	4.4	35.6
204504	14	9	0.9	0.6
204552	5	1	1	0.1
204568	21	12	1	0.3
204904	9.2	9.1	4.8	1.6
205226	5	5	5	2
205314	49	21	9	34
206097	2.3	2.3	3.8	0.2
206170	7	4	3	3
206491	7	5	0.8	0.7
206555	4	4	2	1
206842	24	8	0.5	1
